Company,Sector,Annualized Return,Annualized Volatility,Sharpe Ratio
Hermès,Luxury,0.3613,0.2161,1.5239
L'Oréal,Consumer,0.3278,0.2036,1.4524
Schneider Electric,Industrials,0.1962,0.2309,0.7109
Safran,Aerospace,0.1808,0.2473,0.6019
Airbus,Aerospace,0.1626,0.2752,0.4746
AXA,Insurance,0.0924,0.2552,0.2366
Sanofi,Healthcare,0.0650,0.1783,0.1851
LVMH,Luxury,0.0762,0.2444,0.1809
Kering,Luxury,0.0486,0.3426,0.0484
Dassault Systèmes,Technology,0.0245,0.2707,-0.0277
Air Liquide,Industrials,-0.0252,0.1580,-0.3620
BNP Paribas,Banking,-0.0725,0.2762,-0.3785
TotalEnergies,Energy,-0.0843,0.2274,-0.5113
Vinci,Industrials,-0.0782,0.2044,-0.5391
Crédit Agricole,Banking,-0.2842,0.2991,-1.0572
